experiment_name,experiment_label,evaluation_kind,model_name,model_display_name,model_slug,label,support,predicted,tp,fp,fn,precision,recall,f1
multi_pass,Multi-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,250,288,239,49,11,0.8298611111111112,0.956,0.8884758364312267
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,250,213,213,0,37,1.0,0.852,0.920086393088553
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,250,218,218,0,32,1.0,0.872,0.9316239316239316
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,250,243,242,1,8,0.9958847736625515,0.968,0.9817444219066936
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,250,239,239,0,11,1.0,0.956,0.9775051124744376
multi_pass,Multi-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,250,313,221,92,29,0.7060702875399361,0.884,0.7850799289520426
multi_pass,Multi-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,250,283,238,45,12,0.8409893992932862,0.952,0.8930581613508443
multi_pass,Multi-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,250,275,237,38,13,0.8618181818181818,0.948,0.9028571428571429
multi_pass,Multi-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,250,278,236,42,14,0.8489208633093526,0.944,0.8939393939393939
multi_pass,Multi-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,250,313,196,117,54,0.6261980830670927,0.784,0.6962699822380107
multi_pass,Multi-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,250,283,204,79,46,0.7208480565371025,0.816,0.7654784240150093
multi_pass,Multi-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,250,275,231,44,19,0.84,0.924,0.88
multi_pass,Multi-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,250,278,230,48,20,0.8273381294964028,0.92,0.8712121212121212
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,250,196,196,0,54,1.0,0.784,0.8789237668161435
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,250,204,204,0,46,1.0,0.816,0.8986784140969163
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,250,233,231,2,19,0.9914163090128756,0.924,0.9565217391304348
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,250,231,230,1,20,0.9956709956709957,0.92,0.9563409563409563
multi_pass,Multi-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,closed,250,360,236,124,14,0.6555555555555556,0.944,0.7737704918032787
multi_pass,Multi-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,closed_duration,250,281,248,33,2,0.8825622775800712,0.992,0.9340866290018832
multi_pass,Multi-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,left_open,250,280,248,32,2,0.8857142857142857,0.992,0.9358490566037736
multi_pass,Multi-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,right_open,250,272,243,29,7,0.8933823529411765,0.972,0.9310344827586207
multi_pass,Multi-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,closed,250,360,222,138,28,0.6166666666666667,0.888,0.7278688524590166
multi_pass,Multi-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,closed_duration,250,281,216,65,34,0.7686832740213523,0.864,0.8135593220338981
multi_pass,Multi-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,left_open,250,280,242,38,8,0.8642857142857143,0.968,0.9132075471698112
multi_pass,Multi-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,right_open,250,272,240,32,10,0.8823529411764706,0.96,0.9195402298850575
multi_pass,Multi-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed,250,222,222,0,28,1.0,0.888,0.940677966101695
multi_pass,Multi-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed_duration,250,216,216,0,34,1.0,0.864,0.9270386266094421
multi_pass,Multi-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,left_open,250,243,242,1,8,0.9958847736625515,0.968,0.9817444219066936
multi_pass,Multi-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,right_open,250,240,240,0,10,1.0,0.96,0.9795918367346939
